Explore our Brands,สำรวจแบรนด์ของเรา
"Note: You will be re-directed to a payment gateway page to complete your purchase.""","หมายเหตุ: คุณจะไปยังหน้าระบบชำระเงินเพื่อสั่งซื้อสินค้าของคุณให้เสร็จสมบูรณ์"""
Create your ASICS ID,สร้าง ASICS ID ของคุณ
Already Registered? Sign in,ลงทะเบียนแล้วใช่ไหม ลงชื่อเข้าใช้
Date of Birth,วันเกิด
Gender,เพศ
Male,ชาย
Female,หญิง
ASICS requires this information so that we may provide our services to you and communicate with you. We will handle your personal data in accordance with our privacy policy.,ASICS ต้องการข้อมูลนี้เพื่อให้เราสามารถส่งมอบบริการให้กับคุณ และเพื่อสื่อสารกับคุณ เราจะจัดการกับข้อมูลส่วนบุคคลของคุณอย่างสอดคล้องกับนโยบายความเป็นส่วนตัวของเรา
ONITSUKA TIGER IS A REGISTERED TRADEMARK OF ASICS CORPORATION,ONITSUKA TIGER เป็นเครื่องหมายการค้าแบบจดทะเบียนของ ASICS CORPORATION
By registering I accept the terms and conditions of ASICS,การลงทะเบียนหมายความว่าฉันยอมรับในข้อกำหนดและเงื่อนไขของ ASICS
I would like to receive news and promotions from ASICS by email tailored to my preferences and interests,ฉันประสงค์ที่จะรับข่าวสารและโปรโมชั่นจาก ASICS ผ่านทางอีเมลที่กำหนดตามความพึงพอใจและความสนใจของฉัน
Register,ลงทะเบียน
continue,ดำเนินการต่อ
Shipping address,ที่อยู่ในการจัดส่ง
Installment plans are available for your order,คุณสามารถผ่อนชำระสินค้าที่คุณสั่งซื้อได้
Standard,หน้าเท้าปกติ
wide,หน้าเท้ากว้าง
extra wide,หน้าเท้ากว้างมาก
women running shoes,รองเท้าวิ่งสำหรับผู้หญิง
Personal Information,ข้อมูลส่วนตัว
My Orders,รายการสั่งซื้อของฉัน
My Saved Cart,รถเข็นที่บันทึกไว้ของฉัน
My Saved Addresses,ที่อยู่ที่บันทึกไว้ของฉัน
My Wishlist,"รายการสิ่งที่ปรารถนา"
MY WISH LIST,"รายการสิ่งที่ปรารถนา"
Empty Wishlist,"ไม่มีรายการสิ่งที่ปรารถนา"
You have no items in your wishlist. Start adding!,คุณไม่มีรายการสิ่งที่อยากได้ เริ่มเพิ่ม!
Change Password,เปลี่ยนรหัสผ่าน
Email,อีเมล
First Name,ชื่อ
Last Name,นามสกุล
Mobile Number,หมายเลขโทรศัพท์มือถือ
Gender,เพศ
Male,ชาย
Female,หญิง
Date of Birth,วันเกิด
Select Date,เลือกวัน
Select Month,เลือกเดือน
Select Year,เลือกปี
Required fields,โปรดกรอกข้อมูลในช่องต่อไปนี้
Update,อัปเดต
Order ID,ID ของรายการสั่งซื้อ
Order Date,วันสั่งซื้อ
Delivered,ส่งแล้ว
Canceled,ยกเลิกแล้ว
next,ถัดไป
Print Order summary,พิมพ์สรุปการสั่งซื้อ
Delivered On,ส่งแล้วเมื่อ
Shipment Details,รายละเอียดการส่งสินค้า
Shipment is delivered,ส่งสินค้าแล้ว
Reorder,สั่งซื้อใหม่
Return,คืนสินค้า
Reorder All,สั่งซื้อใหม่ทั้งหมด
Billing Address,ที่อยู่สำหรับออกใบเสร็จรับเงิน
Shipping Address,ที่อยู่ในการจัดส่ง
Order Summary,สรุปการสั่งซื้อ
Subtotal,รวม
Shiping,การจัดส่ง
Courier Name,ชื่อผู้ส่ง
Tracking Number,หมายเลขพัสดุ
Shipment Status,สถานะของพัสดุ
Dispatch Date,วันที่ส่งพัสดุ
Status updated date,วันที่อัปเดตสถานะ
Return Request,ส่งคำขอคืนสินค้า
Order Details,รายละเอียดการสั่งซื้อ
Product,ผลิตภัณฑ์
Payment Method,วิธีการชำระเงิน
color/size,สี/ขนาด
quantity,ปริมาณ
Amount,จำนวน
Amount:,จำนวน
To be returned,รอทำการส่งคืน
To be Returned,รอทำการส่งคืน
Reason for return,เหตุผลในการคืนสินค้า
Size too big,ขนาดใหญ่เกินไป
Size too small,ขนาดเล็กเกินไป
Unhappy with material,ไม่พอใจกับวัสดุ
Not as picture,ไม่เหมือนในรูปภาพ
Additional Remark,หมายเหตุเพิ่มเติม
Mode of Refund,วิธีการคืนเงิน
Mode of refund,วิธีการคืนเงิน
Refund to original payment method,ชำระเงินคืนไปยังวิธีการชำระเงินแบบเดิม
Select Pickup Address,เลือกที่อยู่ที่จะรับสินค้า
Returning an item is eaay with us!,การคืนสินค้ากับเรานั้นง่ายมาก!
I confirm the product(s) for return is in acordance to ASICS Return policy,ฉันยืนยันว่าสินค้าที่จะทำการส่งคืนเป็นไปตามนโยบายการคืนสินค้าของ ASICS
confirm,ยืนยัน
Confirm,ยืนยัน
Stock Available,ยังมีสินค้าอยู่
select width,เลือกความกว้าง
select size,เลือกขนาด
Order all,สั่งซื้อทั้งหมด
create new address,สร้างที่อยู่ใหม่
buy now,ซื้อตอนนี้
Current password,รหัสผ่านปัจจุบัน
new password,รหัสผ่านใหม่
confirm password,ยืนยันรหัสผ่าน
cancel,ยกเลิก
submit,ส่ง
Having trouble in singing in?,มีปัญหาในการลงชื่อเข้าใช้ใช่ไหม
"enter your email address, so we can send you an email from which you can reset your password",กรอกที่อยู่อีเมลของคุณเพื่อให้เราสามารถส่งอีเมลที่จะช่วยให้คุณรีเซ็ตรหัสผ่านได้
Email,อีเมล
Enter you email address,กรอกที่อยู่อีเมลของคุณ
reset your password,รีเซ็ตรหัสผ่านของคุณ
Search Result,ผลการค้นหา
"We're sorry, no products were found for your search: undo",ขออภัย ไม่มีสินค้าสำหรับการค้นหาของคุณ: ย้อนกลับ
Try your search again using these tips:,ลองค้นหาอีกครั้งโดยใช้คำแนะนำเหล่านี้:
Double Check the spelling,ตรวจสอบตัวสะกดอีกครั้ง
Change your serach query,เปลี่ยนข้อความค้นหาของคุณ
Use a more general term,ใช้คำที่มีความหมายกว้างกว่านี้
Contact Us,ติดต่อเรา
Size Guide,ตารางเทียบขนาด
width Guide,ตารางเทียบความกว้าง
Size Guide(Women' shoes),ตารางเทียบขนาด (รองเท้าผู้หญิง)
404:Page not found,404: ไม่พบหน้าที่ระบุ
It looks like this page is lost.,ดูเหมือนว่าหน้านี้จะสูญหายไป
This is embarrassing but we can't seem to find the page youre looking for. Either the page doesn't exist or an error occurred. Try refreshing your browswe or going back to the previous page.,ขออภัยเป็นอย่างยิ่ง แต่เราไม่สามารถค้นหาหน้าที่คุณต้องการได้ หน้าดังกล่าวอาจไม่มีอยู่หรือเกิดข้อผิดพลาดขึ้น ลองรีเฟรชเบราว์เซอร์ของคุณหรือกลับไปยังหน้าที่แล้ว
Search,ค้นหา
We'll be back soon!,เราจะกลับมาในไม่ช้า!
"Sorry for the inconveience, but we're currently doing site maitenance to improve your experience. Please come back in a while.",ขออภัยสำหรับความไม่สะดวก แต่เรากำลังปรับปรุงหน้าเว็บอยู่ในขณะนี้เพื่อปรับปรุงการใช้งานให้ดียิ่งขึ้นสำหรับคุณ โปรดกลับมาในอีกสักครู่
Your Shopping Cart is Empty,รถเข็นของคุณว่างเปล่า
Continue Shopping,ช้อปปิ้งต่อ
<a href='%1'>Continue Shopping</a>,<a href='%1'>ช้อปปิ้งต่อ</a>
"<a class=""back-link"" href=""%1"">Continue Shopping</a>","<a class=""back-link"" href=""%1"">ช้อปปิ้งต่อ</a>"
This site has been temporarily shut down for maintenance.,เว็บไซต์นี้ปิดปรับปรุงชั่วคราว
Hoodies,เสื้อฮู้ด
Dress,ชุดเดรส
Skort,กางเกงกระโปรง
Basketball,บาสเกตบอล
Futsal,ฟุตซอล
Soccer,ฟุตบอล
Track and Field,กรีฑาประเภทลู่และลาน
Customer Service,ฝ่ายบริการลูกค้า
"Operating hours: Mondays - Fridays, 9am to 5pm",เวลาทำการ: จันทร์-ศุกร์ 9 นาฬิกาถึง 17 นาฬิกา
Email,อีเมล
TAX INVOICE,ใบกำกับภาษี
SHIPPING ADDRESS,ที่อยู่ในการจัดส่ง
BILLING ADDRESS,ที่อยู่สำหรับออกใบเสร็จรับเงิน
Customer Tax ID,หมายเลขกำกับภาษีของลูกค้า
SHIPPING METHOD,วิธีการจัดส่งสินค้า
Home Delivery (Standard),บริการส่งถึงบ้าน (ปกติ)
Click & Collect,คลิกและรับ
ORDER DETAILS,รายละเอียดการสั่งซื้อ
Order No,หมายเลขการสั่งซื้อ
Order Date:,วันสั่งซื้อ:
Order date:,วันสั่งซื้อ:
Tax Invoice No,หมายเลขใบกำกับภาษี
Tax Invoice Date,วันที่ออกใบกำกับภาษี
No,หมายเลข
Product No,หมายเลขผลิตภัณฑ์
Item Description,รายละเอียดสินค้า
Size,ขนาด
Quantity,ปริมาณ
Discount,ส่วนลด
Subtotal,รวม
Total Order Price:,ราคาสินค้าทั้งหมด:
Shipping & Handling:,ค่าจัดส่ง:
Promo code:,รหัสโปรโมชั่น:
VAT:,ภาษี:
Total Price (Inclusive of VAT):,รวมทั้งหมด (รวมภาษี):
*Note: You may receive your order in multiple shipments,*หมายเหตุ: คุณอาจได้รับสินค้าผ่านการจัดส่งหลายครั้ง
"Please reject shipment(s) if packaging has signs of severe damage (torn, with holes etc)",กรุณาปฏิเสธพัสดุหากพบร่องรอยความเสียหายที่ร้ายแรง (ฉีกขาด มีรูโหว่ เป็นต้น)
RETURN FORM,แบบฟอร์มคำขอคืนสินค้า
Ordered Quantity,ปริมาณที่สั่งซื้อ
Return (Please Tick),คืนสินค้า (โปรดเลือกข้อนี้)
Return Quantity,จำนวนสินค้าที่จะคืน
Reason Code,รหัสเหตุผล
Size too big,ขนาดใหญ่เกินไป
Size too small,ขนาดเล็กเกินไป
Unhappy with quality,ไม่พอใจกับคุณภาพ
Unhappy with material,ไม่พอใจกับวัสดุ
Not as pictured,ไม่เหมือนกับภาพที่ให้ไว้
Not as described,ไม่เหมือนกับคำอธิบายที่ให้ไว้
Parcel damaged on arrival,พัสดุมีความเสียหายเมื่อมาถึง
Wrong item sent,ได้รับสินค้าผิดจากที่สั่งไว้
Defective item sent,ได้รับสินค้ามีตำหนิ
Change of mind,ฉันเปลี่ยนใจ
"Sorry, this page is only available to IDM account.",ขออภัย หน้านี้ใช้ได้เฉพาะกับบัญชี IDM เท่านั้น
CONFIRM NEW EMAIL ADDRESS,ยืนยันที่อยู่อีเมลใหม่
Change Email Address,เปลี่ยนที่อยู่อีเมล
Please click below to confirm this change.,โปรดคลิกด้านล่างเพื่อยืนยันการเปลี่ยนแปลงนี้
Please confirm you email address,โปรดยืนยันที่อยู่อีเมลของคุณ
Please confirm your email address,โปรดยืนยันที่อยู่อีเมลของคุณ
You have requested to change your email address.,คุณขอให้เปลี่ยนแปลงที่อยู่อีเมล
Please enter your new email address below. We will send a confirmation email to the new address.,โปรดกรอกที่อยู่อีเมลใหม่ของคุณด้านล่าง เราจะส่งอีเมลยืนยันไปยังที่อยู่ใหม่
Change Email Address,เปลี่ยนที่อยู่อีเมล
"We sent a confirmation email to your new address, please check your inbox.",เราได้ส่งอีเมลยืนยันไปยังที่อยู่ใหม่ของคุณ โปรดตรวจสอบกล่องจดหมายเข้า
Confirmation Email Sent,ส่งอีเมลยืนยันแล้ว
Confirmation Failed,การยืนยันไม่สำเร็จ
CONTINUE,ดำเนินการต่อ
Email,อีเมล
Email Account Confirming…,กำลังยืนยันบัญชีอีเมล…
<p>We have updated your email address to the new one.</p><p>Please make sure to login</p><p>with your new email address from now on.</p>,<p>เราได้อัปเดตที่อยู่อีเมลของคุณเป็นที่อยู่ใหม่แล้ว</p><p>โปรดอย่าลืมเข้าสู่ระบบ</p><p>ด้วยที่อยู่อีเมลใหม่ของคุณนับจากวันนี้เป็นต้นไป</p>
Email Address Updated,อัปเดตที่อยู่อีเมลแล้ว
Enter your new email address…,กรอกที่อยู่อีเมลใหม่ของคุณ…
Enter your password…,กรอกรหัสผ่านของคุณ…
The email field is empty.,ช่องกรอกอีเมลว่างอยู่
The password field is empty.,ช่องกรอกรหัสผ่านว่างอยู่
Password,รหัสผ่าน
A confirmation email has been sent to {{email}}.,อีเมลยืนยันได้รับการส่งไปยัง {{email}}
Email Updated,อัปเดตอีเมลแล้ว
Please sign in to change your email.,โปรดลงชื่อเข้าใช้เพื่อเปลี่ยนอีเมลของคุณ
New Email,อีเมลใหม่
Update Account Email,อัปเดตอีเมลของบัญชี
Update Email,อัปเดตอีเมล
Change Your ASICS ID Password,เปลี่ยนรหัสผ่าน ASICS ID ของคุณ
Confirm your password…,ยืนยันรหัสผ่านของคุณ…
Enter your old password…,กรอกรหัสผ่านเก่าของคุณ…
Enter your password…,กรอกรหัสผ่านของคุณ…
The new password field is empty.,ช่องกรอกรหัสผ่านใหม่ว่างอยู่
The old password field is empty.,ช่องกรอกรหัสผ่านเก่าว่างอยู่
Password does not match the confirm password.,รหัสผ่านไม่ตรงกับรหัสผ่านที่ยืนยัน
New Password,รหัสผ่านใหม่
Old Password,รหัสผ่านเก่า
You can use your new password next time you login.,คุณสามารถใช้รหัสผ่านใหม่ในครั้งถัดไปที่คุณเข้าสู่ระบบ
Password Changed,เปลี่ยนรหัสผ่านแล้ว
SET NEW PASSWORD,ตั้งรหัสผ่านใหม่
Change Password,เปลี่ยนรหัสผ่าน
Change Password,เปลี่ยนรหัสผ่าน
Create New Password,สร้างรหัสผ่านใหม่
Please sign in to change your password.,โปรดลงชื่อเข้าใช้เพื่อเปลี่ยนรหัสผ่านของคุณ
Need to login,ต้องเข้าสู่ระบบ
New Password,รหัสผ่านใหม่
Current Password,รหัสผ่านปัจจุบัน
The application would like to access your ASICS account information:,แอปพลิเคชันต้องการเข้าถึงข้อมูลบัญชี ASICS ของคุณ:
ASICS would like to access your ASICS account information:,ASICS ต้องการเข้าถึงข้อมูลบัญชี ASICS ของคุณ:
ASICS Studio would like to access your ASICS account information:,ASICS Studio ต้องการเข้าถึงข้อมูลบัญชี ASICS ของคุณ:
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to ASICS Studio <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","ด้วยการคลิกด้านล่าง ฉันยืนยันว่าได้อ่านและเข้าใจใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>ที่ใช้บังคับ และฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ ASICS Studio"
ASICS Tiger would like to access your ASICS account information:,ASICS Tiger ต้องการเข้าถึงข้อมูลบัญชี ASICS ของคุณ:
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to ASICS <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","ด้วยการคลิกด้านล่าง ฉันยืนยันว่าได้อ่านและเข้าใจใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>ที่ใช้บังคับ และฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ ASICS"
Continue,ดำเนินการต่อ
"Or <a href=""{{register_url}}"">create a new ASICS account</a>","หรือ<a href=""{{register_url}}"">สร้างบัญชี ASICS ใหม่</a>"
Haglofs would like to access your ASICS account information:,Haglofs ต้องการเข้าถึงข้อมูลบัญชี ASICS ของคุณ:
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to Haglöfs <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","ด้วยการคลิกด้านล่าง ฉันยืนยันว่าได้อ่านและเข้าใจใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>ที่ใช้บังคับ และฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ Haglöfs"
Onitsuka Tiger would like to access your ASICS account information:,Onitsuka Tiger ต้องการเข้าถึงข้อมูลบัญชี ASICS ของคุณ:
Runkeeper would like to access your ASICS account information:,Runkeeper ต้องการเข้าถึงข้อมูลบัญชี ASICS ของคุณ:
"By clicking below, I confirm that I have read and understand the applicable <a href=""{{privacy_url}}"" target=""_blank"">Privacy Policy</a> and that I agree to Runkeeper <a href=""{{terms_url}}"" target=""_blank"">Terms and Conditions</a>.","ด้วยการคลิกด้านล่าง ฉันยืนยันว่าได้อ่านและเข้าใจใน<a href=""{{privacy_url}}"" target=""_blank"">นโยบายความเป็นส่วนตัว</a>ที่ใช้บังคับ และฉันยอมรับใน<a href=""{{terms_url}}"" target=""_blank"">ข้อกำหนดและเงื่อนไข</a>ของ Runkeeper"
Delete,ลบ
Edit,แก้ไข
Account ID,ID บัญชี
Account Types,ประเภทบัญชี
Birth,วันเกิด
YYYY-MM-DD,ปปปป-ดด-วว
Country,ประเทศ
Select an Option,เลือกตัวเลือก
Email,อีเมล
First Name,ชื่อ
Gender,เพศ
Select an Option,เลือกตัวเลือก
Last Name,นามสกุล
Legal Agreements,ข้อตกลงทางกฎหมาย
Password,รหัสผ่าน
Receive News Letter,รับจดหมายข่าว
Services,บริการ
Select some Options,เลือกบางตัวเลือก
customers,ลูกค้า
Customers,ลูกค้า
Services,บริการ
ASICS Studio,ASICS Studio
EU ASICS,ASICS สหภาพยุโรป
EU ASICS Outlet Website,เว็บไซต์เอาท์เล็ตของ ASICS สหภาพยุโรป
EU ASICS Tiger,ASICS Tiger สหภาพยุโรป
EU ASICS Website,เว็บไซต์ของ ASICS สหภาพยุโรป
EU Haglöfs,Haglöfs สหภาพยุโรป
EU Onitsuka Tiger,Onitsuka Tiger สหภาพยุโรป
MY ASICS,MY ASICS
Mobile Foot ID,Mobile Foot ID
My Asics,My Asics
MySports customer platform,แพลตฟอร์มลูกค้า MySports
OneASICS Software In-Stores,OneASICS Software In-Stores
Runkeeper,Runkeeper
Sales Force Commerce Cloud - Dev 08,Sales Force Commerce Cloud - Dev 08
beatthesun,beatthesun
frontrunner,frontrunner
gel30,gel30
hybris,hybris
idm,idm
loader.io test client,loader.io test client
paceyourrace,paceyourrace
rio,rio
No customers to show.,ไม่มีลูกค้าที่จะแสดง
de-DE,de-DE
<p>You will lose access to other ASICS services including:</p><ul><li>ASICS E-Commerce</li><li>ASICS Tiger</li><li>Onitsuka Tiger</li><li>OneASICS</li><li>ASICS Studio</li><li>ASICS Runkeeper</li><li>My ASICS</li><li>Pace Your Race</li><li>Frontrunners</li></ul><p>All of your data for these services will be removed. <strong>Please click the button below to confirm this deletion.</strong></p>,<p>คุณจะสูญเสียการเข้าถึงบริการอื่นๆ ของ ASICS รวมถึง:</p><ul><li>ASICS E-Commerce</li><li>ASICS Tiger</li><li>Onitsuka Tiger</li><li>OneASICS</li><li>ASICS Studio</li><li>ASICS Runkeeper</li><li>My ASICS</li><li>Pace Your Race</li><li>Frontrunners</li></ul><p>ข้อมูลทั้งหมดของคุณสำหรับบริการเหล่านี้จะถูกลบออก <strong>โปรดคลิกปุ่มด้านล่างเพื่อยืนยันการลบนี้</strong></p>
DELETE USER,ลบผู้ใช้
The following user and the associated data will be deleted from our servers:,ผู้ใช้ต่อไปนี้และข้อมูลที่เกี่ยวข้องจะถูกลบออกจากเซิร์ฟเวอร์ของเรา:
Delete User Account,ลบบัญชีผู้ใช้
"If you want to delete your user data from <strong>all ASICS services</strong>, click the button below.",หากคุณต้องการลบข้อมูลผู้ใช้ของคุณออกจาก<strong>บริการทั้งหมดของ ASICS</strong> ให้คลิกปุ่มด้านล่าง
"If you want to delete your user data from a specific ASICS service and leave your ASICS account intact, use the following links:",หากคุณต้องการลบข้อมูลผู้ใช้ของคุณออกจากบริการของ ASICS ที่เฉพาะเจาะจง และไม่ทำการเปลี่ยนแปลงใดๆ ในบัญชี ASICS ของคุณ ให้ใช้ลิงก์ต่อไปนี้:
"<a href=""https://support.studio.asics.com/hc/en-us/requests/new"">Submit request to delete <strong>ASICS Studio</strong> account and data</a>","<a href=""https://support.studio.asics.com/hc/en-us/requests/new"">ส่งคำขอให้ลบบัญชีและข้อมูลของ <strong>ASICS Studio</strong></a>"
"<a href=""https://www.asics.com/us/en-us/my-account/profile"">Go to <strong>asics.com</strong> profile to delete account and data</a>","<a href=""https://www.asics.com/us/en-us/my-account/profile"">ไปที่โปรไฟล์ <strong>asics.com</strong> เพื่อลบบัญชีและข้อมูล</a>"
"<a href=""https://my.asics.com/app_en/settings/edit#/profile"">Go to <strong>MY ASICS</strong> profile to delete account and data</a>","<a href=""https://my.asics.com/app_en/settings/edit#/profile"">ไปที่โปรไฟล์ <strong>MY ASICS</strong> เพื่อลบบัญชีและข้อมูล</a>"
"<a href=""https://runkeeper.com/login?redirectUrl=%2Fdelete-account"">Delete <strong>ASICS Runkeeper</strong> account and data</a>","<a href=""https://runkeeper.com/login?redirectUrl=%2Fdelete-account"">ลบบัญชีและข้อมูลของ <strong>ASICS Runkeeper</strong></a>"
Please sign in to delete your account.,โปรดลงชื่อเข้าใช้เพื่อลบบัญชีของคุณ
ASICS Terms of Use,ข้อกำหนดการใช้งานของ ASICS
<p>So sad to see you go.</p><p>We hope you’ll be back some time in the future!</p>,<p>เราเสียใจที่คุณต้องการจากไป</p><p>เราหวังว่าคุณจะกลับมาอีกครั้งในอนาคต!</p>
User Account Deleted,ลบบัญชีผู้ใช้แล้ว
Privacy Policy,นโยบายความเป็นส่วนตัว
Terms of Use,ข้อกำหนดการใช้งาน
"Hello {{$1}},",สวัสดี {{$1}}
Scope,ขอบเขต
Select an Option,เลือกตัวเลือก
Public Keys,คีย์สาธารณะ
Select some Options,เลือกบางตัวเลือก
Service,บริการ
Select an Option,เลือกตัวเลือก
Cookie Settings,การตั้งค่าคุกกี้
Privacy Policy,นโยบายความเป็นส่วนตัว
Terms & Conditions,ข้อกำหนดและเงื่อนไข
CONTINUE,ดำเนินการต่อ
Email:,อีเมล:
Enter your email address…,กรอกที่อยู่อีเมลของคุณ…
The email field is empty.,ช่องกรอกอีเมลว่างอยู่
"Enter your email address, so we can send you an email from which you can reset your password.",กรอกที่อยู่อีเมล เพื่อให้เราสามารถส่งอีเมลให้กับคุณเพื่อให้คุณรีเซ็ตรหัสผ่านจากอีเมลนั้นได้
Having trouble signing in?,มีปัญหาในการลงชื่อเข้าใช้ใช่ไหม
"We sent you an email to reset your password, please check your inbox.",เราได้ส่งอีเมลให้กับคุณเพื่อให้รีเซ็ตรหัสผ่าน โปรดตรวจสอบกล่องจดหมายเข้า
Password Reset Email Sent,ส่งอีเมลสำหรับรีเซ็ตรหัสผ่านแล้ว
You used {{third_party}} when you created this account. Please login with {{third_party}}.,คุณใช้ {{third_party}} เมื่อสร้างบัญชีนี้ โปรดเข้าสู่ระบบด้วย {{third_party}}
Email,อีเมล
A password reset link has been sent to {{email}}.,ลิงก์สำหรับรีเซ็ตรหัสผ่านได้รับการส่งไปยัง {{email}}
Reset Password,รีเซ็ตรหัสผ่าน
Send Reset Link,ส่งลิงก์สำหรับรีเซ็ต
Migration Users File,ไฟล์การโยกย้ายผู้ใช้
Service,บริการ
Select an Option,เลือกตัวเลือก
Add Migration Users File,เพิ่มไฟล์การโยกย้ายผู้ใช้
Translations File,ไฟล์แปล
Add Translations File,เพิ่มไฟล์แปล
Country,ประเทศ
Version,เวอร์ชัน
ADD {{third_party}},เพิ่ม {{third_party}}
Email:,อีเมล:
The email field is empty.,ช่องกรอกอีเมลว่างอยู่
The password field is empty.,ช่องกรอกรหัสผ่านว่างอยู่
Forgot your password?,ลืมรหัสผ่านของคุณใช่ไหม
<p>We have an account with this email address that is currently linked using {{origin}}.</p><p>Would you like to also link this account using {{new_type}} or retry your login using {{origin}}?</p>,<p>เรามีบัญชีที่ใช้ที่อยู่อีเมลนี้ซึ่งเชื่อมโยงอยู่ในปัจจุบันโดยใช้ {{origin}}</p><p>คุณยังต้องการเชื่อมโยงบัญชีนี้โดยใช้ {{new_type}} หรือลองเข้าสู่ระบบอีกครั้งโดยใช้ {{origin}} หรือไม่</p>
<p>We have an account with this email that was created using a password.</p><p>To add {{third_party}} as an authentication method please confirm by entering your ASICS ID password.</p>,<p>เรามีบัญชีที่ใช้อีเมลนี้ซึ่งสร้างขึ้นโดยใช้รหัสผ่าน </p><p>หากต้องการเพิ่ม {{third_party}} เป็นวิธีการพิสูจน์ตัวตน โปรดยืนยันด้วยการกรอกรหัสผ่าน ASICS ID ของคุณ</p>
Login Successful,เข้าสู่ระบบสำเร็จ
LOGIN WITH {{third_party}},เข้าสู่ระบบด้วย {{third_party}}
